Location,Updated,WaitTimeInSeconds
VH3,2023-07-12T11:30:00,91
AF2,2023-07-12T11:45:00,556
AF3,2023-07-12T11:45:00,453
EF-T,2023-07-12T11:45:00,60
GH-T,2023-07-12T11:45:00,60
NS-S,2023-07-12T11:45:00,519
S-NS,2023-07-12T11:45:00,1237
VF0,2023-07-12T11:45:00,60
VF1,2023-07-12T11:45:00,845
VF2,2023-07-12T11:45:00,1101
VF3,2023-07-12T11:45:00,429
VF4,2023-07-12T11:45:00,356
VH3,2023-07-12T11:45:00,60
AF2,2023-07-12T12:05:00,454
AF3,2023-07-12T12:05:00,60
EF-T,2023-07-12T12:05:00,73
GH-T,2023-07-12T12:05:00,121
NS-S,2023-07-12T12:05:00,280
S-NS,2023-07-12T12:05:00,60
VF0,2023-07-12T12:05:00,76
VF1,2023-07-12T12:05:00,1347
VF2,2023-07-12T12:05:00,394
VF3,2023-07-12T12:05:00,551
VF4,2023-07-12T12:05:00,124
VH3,2023-07-12T12:05:00,60
AF2,2023-07-12T12:29:00,705
AF3,2023-07-12T12:29:00,2723
EF-T,2023-07-12T12:29:00,161
GH-T,2023-07-12T12:29:00,60
NS-S,2023-07-12T12:29:00,60
S-NS,2023-07-12T12:29:00,60
VF0,2023-07-12T12:29:00,70
VF1,2023-07-12T12:29:00,1584
VF2,2023-07-12T12:29:00,1116
VF3,2023-07-12T12:29:00,333
VF4,2023-07-12T12:29:00,141
VH3,2023-07-12T12:29:00,60
AF2,2023-07-12T12:38:00,1209
AF3,2023-07-12T12:38:00,857
EF-T,2023-07-12T12:38:00,131
GH-T,2023-07-12T12:38:00,60
NS-S,2023-07-12T12:38:00,60
S-NS,2023-07-12T12:38:00,60
VF0,2023-07-12T12:38:00,60
VF1,2023-07-12T12:38:00,1249
VF2,2023-07-12T12:38:00,277
VF3,2023-07-12T12:38:00,370
VF4,2023-07-12T12:38:00,60
VH3,2023-07-12T12:38:00,60
AF2,2023-07-12T12:45:00,470
AF3,2023-07-12T12:45:00,369
EF-T,2023-07-12T12:45:00,60
GH-T,2023-07-12T12:45:00,60
NS-S,2023-07-12T12:45:00,93
S-NS,2023-07-12T12:45:00,151
